"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
276,"San Joaquin 2","CA","37.203232999999997","-119.497508",0,0,0,0,0,0,913
277,"San Joaquin 3","CA","37.253717999999999","-119.519352",0,0,0,0,0,0,1185
279,"Salt Springs","CA","38.497914000000002","-120.21811",0,0,0,0,0,0,106540
280,"South","CA","40.395395999999998","-121.879186",0,0,0,0,0,0,30054
281,"Spaulding 1","CA","39.324612999999999","-120.644807",0,0,0,0,0,0,25046
282,"Spaulding 2","CA","39.324592000000003","-120.645375",0,0,0,0,0,0,1861
283,"Spaulding 3","CA","39.337679000000001","-120.63546700000001",0,0,0,0,0,0,3449
284,"Spring Gap","CA","38.186529999999998","-120.11168000000001",0,0,0,0,0,0,15316
285,"Stanislaus","CA","38.139048000000003","-120.37032499999999",0,0,0,0,0,0,146457
286,"Geysers Unit 5-20","CA","38.777000000000001","-122.745",0,0,0,0,0,0,4591707
287,"Tiger Creek","CA","38.449291000000002","-120.492645",0,0,0,0,0,0,191952
289,"Tule River","CA","36.163075999999997","-118.707104",0,0,0,0,0,0,1656
290,"Volta 1","CA","40.459111","-121.86708",0,0,0,0,0,0,25463
291,"West Point PH","CA","38.420898000000001","-120.549572",0,0,0,0,0,0,52180
292,"Wise","CA","38.889862000000001","-121.098525",0,0,0,0,0,0,40807
293,"A G Wishon","CA","37.151049999999998","-119.504724",0,0,0,0,0,0,6571
294,"Copco 1","CA","41.978914000000003","-122.335317",0,0,0,0,0,0,65390
295,"Copco 2","CA","41.975715999999998","-122.358127",0,0,0,0,0,0,86439
296,"Fall Creek","CA","41.985605","-122.360455",0,0,0,0,0,0,7396
297,"Iron Gate","CA","41.932980999999998","-122.43678",0,0,0,0,0,0,85550
298,"Limestone","TX","31.421900000000001","-96.252499999999998",0,0,0,0,7310014.86,0,4667231.2
299,"Blundell","UT","38.488900000000001","-112.8533",0,0,0,0,0,0,274996
301,"El Cajon","CA","32.7958","-116.9722",0,0,0,0,0,0,977
302,"Encina","CA","33.136099999999999","-117.3364",0,0,0,0,0,0,540007
303,"Kearny","CA","32.834000000000003","-117.13379999999999",0,0,0,0,0,0,23880
305,"Miramar","CA","32.876100000000001","-117.1664",0,0,0,0,0,0,5308
313,"Green Lake","AK","56.986283999999998","-135.12275",0,0,0,0,0,0,70792
314,"Drop 5","CA","32.673096999999999","-115.392026",0,0,0,0,0,0,11793
315,"AES Alamitos LLC","CA","33.768799999999999","-118.1009",0,0,1369722,0,0,0,0
316,"Sepulveda Canyon","CA","34.096899999999998","-118.4795",0,0,0,0,0,0,0
317,"Big Creek 1","CA","37.2042","-119.2396",0,0,0,0,0,0,151124
318,"Big Creek 2","CA","37.200000000000003","-119.3069",0,0,0,0,0,0,140967
319,"Big Creek 3","CA","37.148516999999998","-119.386623",0,0,0,0,0,0,302929
