"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption"
3470,"W A Parish","TX","29.482800000000001","-95.631100000000004",75112876308.88
3476,"Knox Lee","TX","32.376600000000003","-94.641499999999994",232505000
3477,"Lone Star","TX","32.921500000000002","-94.7226",1309784.21
3478,"Wilkes","TX","32.848163","-94.547985999999995",735907244.676
3482,"Jones","TX","33.523899999999998","-101.7392",2088694695.18
3484,"Nichols","TX","35.283357000000002","-101.74642299999999",1191423240
3485,"Plant X","TX","34.1661","-102.4114",3867422257.534
3491,"Handley","TX","32.728299999999997","-97.219200000000001",268092825
3497,"Big Brown","TX","31.820599999999999","-96.054400000000001",28943029767.1
3559,"Silas Ray","TX","25.9131","-97.5214",16771622
3576,"Ray Olinger","TX","33.068055000000001","-96.452481000000006",68852448
3601,"Sim Gideon","TX","30.145600000000002","-97.270799999999994",139551750
3602,"Ty Cooke","TX","33.521099999999997","-101.7906",97482658
3604,"J Robert Massengale","TX","33.603900000000003","-101.8408",60830658
3611,"O W Sommers","TX","29.308056000000001","-98.324200000000005",306207181.096
3612,"V H Braunig","TX","29.256699999999999","-98.382499999999993",255394321.431
3630,"Pearsall","TX","28.927499999999998","-99.091899999999995",28531083
3631,"Sam Rayburn","TX","28.8947","-97.135000000000005",154582121
3644,"Carbon","UT","39.727200000000003","-110.8644",944762714.112
3648,"Gadsby","UT","40.768599999999999","-111.9289",181410858
3775,"Clinch River","VA","36.933300000000003","-82.199700000000007",1065352434
3776,"Glen Lyn","VA","37.370600000000003","-80.863299999999995",179373788
3804,"Possum Point","VA","38.536700000000003","-77.280600000000007",142796599.2
3845,"Transalta Centralia Generation","WA","46.755938","-122.859764",6509876077.896
3935,"John E Amos","WV","38.473100000000002","-81.823300000000003",14953497052.848
3936,"Kanawha River","WV","38.205599999999997","-81.421099999999996",1508612003.04
3938,"Philip Sporn","WV","38.966900000000003","-81.923100000000005",3471233781.135
3943,"FirstEnergy Fort Martin Power Station","WV","39.710833000000001","-79.927499999999995",4539772362.656
