"Plant.Id","total.gen","Plant.Name","State","Latitude","Longitude"
424,21280,"French Meadows","CA","39.077970999999998","-120.406069"
425,270448,"Middle Fork","CA","39.024800999999997","-120.596383"
426,14509,"Oxbow (CA)","CA","39.003371999999999","-120.746651"
427,200529,"Ralston","CA","39.000999","-120.725053"
428,3047,"Parker","CA","37.477837999999998","-120.444492"
430,153928,"Camino","CA","38.828809999999997","-120.53708899999999"
431,242172,"Jaybird","CA","38.834049999999998","-120.53176000000001"
432,55822,"Loon Lake","CA","38.982697000000002","-120.32450300000001"
433,24230,"Robbs Peak","CA","38.896510999999997","-120.378292"
435,216343,"White Rock/Slab Creek","CA","38.765335999999998","-120.78736600000001"
436,216054,"Devil Canyon","CA","34.205599999999997","-117.3344"
437,652588,"Edward C Hyatt","CA","39.542985000000002","-121.492188"
438,0,"Thermalito","CA","39.514893000000001","-121.630077"
439,155818,"Don Pedro","CA","37.695993999999999","-120.420152"
440,7657,"La Grange","CA","37.669699999999999","-120.4436"
441,185147,"Folsom","CA","38.70675","-121.15844300000001"
442,338338,"Judge F Carr","CA","40.646934000000002","-122.62697300000001"
443,284273,"Keswick","CA","40.611857999999998","-122.44644099999999"
444,26149,"Nimbus","CA","38.637349999999998","-121.220198"
445,1012933,"Shasta","CA","40.717455000000001","-122.422274"
446,-5735,"ONeill","CA","37.098671000000003","-121.047718"
447,448589,"Parker Dam","CA","34.295333999999997","-114.14022199999999"
448,-142409,"W R Gianelli","CA","37.069200000000002","-121.0772"
450,283446,"Spring Creek","CA","40.628115000000001","-122.46750900000001"
451,279059,"Trinity","CA","40.797296000000003","-122.762553"
454,538803,"Colgate","CA","39.330832999999998","-121.191666"
455,94716,"Narrows 2","CA","39.238996","-121.270409"
457,562,"Bear Valley","CA","33.166111000000001","-117.016667"
460,-316,"Pueblo","CO","38.2667","-104.6144"
464,1866,"Alamosa","CO","37.459400000000002","-105.8947"
465,0,"Arapahoe","CO","39.67","-105.00279999999999"
466,19615,"Boulder Canyon Hydro","CO","40.004725000000001","-105.33249499999999"
467,-159359,"Cabin Creek","CO","39.655099999999997","-105.7088"
469,3075374.027,"Cherokee","CO","39.807274999999997","-104.96454799999999"
470,8289783.03,"Comanche (CO)","CO","38.208100000000002","-104.57470000000001"
471,129,"Fruita","CO","39.136400000000002","-108.7347"
472,6165,"Georgetown Hydro","CO","39.691899999999997","-105.6978"
473,13448,"Grand Valley Project Power Plant","CO","39.101666999999999","-108.345556"
474,2152,"Salida","CO","38.534190000000002","-106.18200299999999"
476,66015,"Shoshone (CO)","CO","39.570129999999999","-107.226876"
477,1048991.048,"Valmont","CO","40.019500000000001","-105.202"
478,-980,"Zuni","CO","39.737347999999997","-105.016991"
479,16144,"Temescal","CA","33.834299999999999","-117.4971"
480,14259,"Corona","CA","33.85895","-117.61060000000001"
481,0,"Perris","CA","33.836100000000002","-117.1831"
482,1003,"Rio Hondo","CA","34.004722000000001","-118.09917"
483,7784,"Coyote Creek","CA","33.924930000000003","-117.95517"
484,11651,"Red Mountain","CA","33.394399999999997","-117.1889"
487,20471,"Valley View","CA","33.900100000000002","-117.82905"
489,6860,"Upper Dawson","CA","37.650799999999997","-120.4706"
491,0,"Center","CO","37.755000000000003","-106.1092"
492,1169606.02,"Martin Drake","CO","38.824444","-104.833333"
493,8037,"George Birdsall","CO","38.881388999999999","-104.81694400000001"
494,20354,"Manitou Springs","CO","38.855556","-104.93305599999999"
495,1076,"Ruxton Park","CO","38.841354000000003","-104.97380200000001"
496,32,"Delta (CO)","CO","38.731400000000001","-108.07080000000001"
502,5,"Holly","CO","38.055","-102.2004"
504,0,"Julesburg","CO","40.9681","-102.2492"
505,69504,"Boysen","WY","43.417872000000003","-108.17754499999999"
506,-1073,"La Junta","CO","37.984400000000001","-103.5436"
507,0,"Las Animas","CO","38.059699999999999","-103.2206"
508,10359,"Lamar Plant","CO","38.033327","-102.537915"
510,318272,"Sonoma California Geothermal","CA","38.790300000000002","-122.7559"
511,24,"Trinidad (CO)","CO","37.178978999999998","-104.487492"
512,221259,"Blue Mesa","CO","38.453190999999997","-107.33748300000001"
513,95294,"Estes","CO","40.376770999999998","-105.509665"
514,295791,"Morrow Point","CO","38.451752999999997","-107.539299"
515,2006,"Big Thompson","CO","40.421030999999999","-105.223804"
516,93802,"Green Mountain","CO","39.878805","-106.332725"
517,35205,"Marys Lake","CO","40.344079999999998","-105.534308"
518,222616,"Flatiron","CO","40.364995999999998","-105.23603199999999"
519,191968,"Pole Hill","CO","40.365056000000003","-105.325074"
520,15693,"Lower Molina","CO","39.193660000000001","-108.044088"
521,24430,"Upper Molina","CO","39.143808","-108.004777"
525,3156779.958,"Hayden","CO","40.485599999999998","-107.185"
527,417583.997,"Nucla","CO","38.238300000000002","-108.5069"
531,5767,"Camp Far West","CA","39.048802000000002","-121.31696599999999"
533,3193339.013,"McWilliams","AL","31.400255000000001","-86.476449000000002"
534,10648,"Jones Fork","CA","38.850282999999997","-120.381883"
535,3722,"McClellan (CA)","CA","38.652731000000003","-121.39333600000001"
537,4919,"Camanche","CA","38.226799999999997","-121.0245"
539,6782,"Rocky River (CT)","CT","41.582599999999999","-73.434899999999999"
540,654,"Branford","CT","41.292499999999997","-72.794200000000004"
541,37929,"Bulls Bridge","CT","41.659045999999996","-73.491984000000002"
542,4743,"Cos Cob","CT","41.0289","-73.5989"
544,6152,"Devon Station","CT","41.209797000000002","-73.108975999999998"
546,49107,"Montville Station","CT","41.428100000000001","-72.101900000000001"
547,-309676,"Northfield Mountain","MA","42.610683000000002","-72.471643"
550,263442.999,"Kettle Falls Generating Station","WA","48.620336000000002","-118.111059"
551,6366,"Scotland Dam","CT","41.665100000000002","-72.122100000000003"
552,145192,"Shepaug","CT","41.448419999999999","-73.295321000000001"
553,93171,"Stevenson","CT","41.383299999999998","-73.171400000000006"
554,5042,"Taftville","CT","41.572499999999998","-72.0458"
557,7727,"Tunnel","CT","41.555425","-72.041829000000007"
559,32155.2,"Rainbow (CT)","CT","41.915312","-72.693616000000006"
560,45744,"Falls Village","CT","41.957272000000003","-73.369297000000003"
561,716,"Franklin Drive","CT","41.798943000000001","-73.116266999999993"
562,234935.005,"Middletown","CT","41.554943999999999","-72.579075000000003"
563,4121,"South Meadow","CT","41.749499999999998","-72.6524"
564,6075238.911,"Stanton Energy Center","FL","28.482199999999999","-81.1678"
565,607,"Torrington Terminal","CT","41.776108999999998","-73.120885999999999"
566,15840619,"Millstone","CT","41.310699999999997","-72.167699999999996"
568,832889.003,"Bridgeport Station","CT","41.1706","-73.184399999999997"
579,0,"Central Hudson High Falls","NY","41.828814000000001","-74.131877000000003"
581,575,"North Main Street","CT","41.526789999999998","-72.064935000000006"
583,2144.34,"Tenth Street","CT","41.538955000000001","-72.050935999999993"
584,60678,"Navajo Dam","NM","36.806100000000001","-107.6131"
585,16396,"Drop 1","CA","32.711610999999998","-114.942666"
586,3368,"East Highline","CA","32.699451000000003","-115.28245"
589,287186,"J C McNeil","VT","44.491700000000002","-73.208055999999999"
591,1223,"Christiana","DE","39.730200000000004","-75.537099999999995"
592,963,"Delaware City 10","DE","39.600408000000002","-75.626811000000004"
593,852310,"Edge Moor","DE","39.738860000000003","-75.503839999999997"
594,873060.003,"Indian River Generating Station","DE","38.585700000000003","-75.234099999999998"
597,60,"West Station (DE)","DE","39.728299999999997","-75.628900000000002"
599,33479,"McKee Run","DE","39.176222000000003","-75.546627999999998"
602,4758982.031,"Brandon Shores","MD","39.18","-76.538899999999998"
607,67546,"Fredonia","WA","48.455800000000004","-122.4358"
609,6845355.002,"Cape Canaveral","FL","28.469799999999999","-80.764399999999995"
